id(module),id,relational_type,name,created_at,position,uuid,slug
458162,458222,Subject,Section 4 General,1578004353,1,8f385d18-4cf7-4297-a090-4c4219298721,california-consumer-privacy-act-section-4-section-4-general
457994,451797,Subject,TITLE 1.81.5. California Consumer Privacy Act of 2018,1578004353,1,30baa95d-b6e8-4fa2-8e17-24f8421980f5,california-consumer-privacy-act-section-3-title-1-81-5-california-consumer-privacy-act-of-2018
458047,458123,Subject,Section 2 General,1578004353,1,8263d94f-59db-40c0-88ef-75938a0aca5d,california-consumer-privacy-act-section-2-section-2-general
458221,458110,Subject,Section 1 General,1578004353,1,567f4a6f-5115-46f7-bd9e-45d39f038f00,california-consumer-privacy-act-section-1-section-1-general
